Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
2009/2010,NBA,Chicago Bulls,41,41,.500,20.0,97.5,99.1,Yes,26.2,36,46,-1.63,0.00,-1.64,103.5,105.3,-1.8,93.1,.287,.156,.520,.477,13.3,26.6,.217,.484,12.3,74.8,.212,82,242.7,37.6,83.2,.451,4.3,13.0,.330,33.3,70.2,.474,18.0,23.9,.754,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1,97.5
2009/2010,NBA,Indiana Pacers,32,50,.390,29.0,100.8,103.8,No,26.6,33,49,-3.01,-0.10,-3.11,103.7,106.8,-3.1,97.1,.296,.278,.536,.491,13.8,21.6,.229,.490,13.4,73.0,.258,82,240.3,36.8,83.2,.443,8.0,23.1,.348,28.8,60.1,.479,19.1,24.6,.775,9.6,31.9,41.5,21.1,7.1,5.4,15.0,22.5,100.8
2009/2010,NBA,Detroit Pistons,27,55,.329,34.0,94.0,99.1,No,26.7,26,56,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,.303,.180,.515,.474,12.8,30.3,.220,.526,14.2,73.4,.264,82,241.2,35.9,80.5,.445,4.6,14.5,.314,31.3,66.0,.474,17.7,24.4,.728,12.8,27.3,40.2,19.4,7.3,3.8,13.4,22.2,94.0
2009/2010,NBA,Orlando Magic,59,23,.720,—,102.8,95.3,Yes,27.9,61,21,7.49,-0.37,7.12,111.4,103.3,+8.1,92.0,.340,.350,.573,.536,13.6,24.6,.246,.477,12.2,77.4,.205,82,240.6,36.6,78.0,.470,10.3,27.3,.375,26.4,50.6,.521,19.2,26.5,.724,9.9,33.4,43.2,19.7,6.2,5.6,14.1,19.9,102.8
2009/2010,NBA,Atlanta Hawks,53,29,.646,6.0,101.7,97.0,Yes,26.5,54,28,4.66,-0.22,4.44,111.9,106.7,+5.2,90.1,.281,.214,.545,.506,11.4,28.2,.213,.496,13.2,72.7,.208,82,242.1,38.8,82.9,.468,6.4,17.7,.360,32.4,65.2,.497,17.7,23.3,.759,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9,101.7
2009/2010,NBA,Miami Heat,47,35,.573,12.0,96.5,94.2,Yes,27.1,48,34,2.28,-0.29,1.99,106.6,104.1,+2.5,89.6,.296,.219,.537,.496,12.8,26.1,.223,.480,13.9,74.9,.246,82,242.4,36.4,79.5,.458,6.0,17.4,.346,30.4,62.1,.489,17.7,23.5,.752,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9,96.5
2009/2010,NBA,Charlotte Bobcats,44,38,.537,15.0,95.3,93.8,Yes,27.4,45,37,1.46,-0.17,1.30,104.4,102.8,+1.6,90.4,.346,.211,.538,.490,15.1,26.5,.260,.491,14.7,74.2,.194,82,242.4,34.9,76.9,.453,5.6,16.2,.346,29.2,60.7,.482,20.0,26.6,.751,10.5,30.4,40.8,20.2,7.7,5.4,15.7,19.5,95.3
2009/2010,NBA,Washington Wizards,26,56,.317,33.0,96.2,101.0,No,27.6,28,54,-4.78,0.06,-4.72,104.2,109.4,-5.2,91.6,.283,.183,.524,.481,13.9,27.6,.216,.502,12.8,72.4,.239,82,241.8,36.7,81.7,.449,5.3,14.9,.353,31.4,66.8,.471,17.6,23.1,.762,11.8,30.0,41.8,19.0,6.0,5.1,14.9,21.4,96.2
2009/2010,NBA,Denver Nuggets,53,29,.646,—,106.5,102.4,Yes,27.7,52,30,4.09,0.06,4.15,111.8,107.5,+4.3,94.8,.376,.227,.561,.509,12.7,26.1,.290,.495,13.8,72.4,.251,82,241.2,38.1,81.4,.468,6.6,18.5,.359,31.5,62.9,.500,23.6,30.6,.772,10.8,30.5,41.4,21.0,8.3,5.1,13.9,22.5,106.5
2009/2010,NBA,Utah Jazz,53,29,.646,—,104.2,98.9,Yes,25.6,55,27,5.34,-0.01,5.33,110.7,105.0,+5.7,93.8,.340,.184,.565,.524,14.2,26.8,.252,.492,14.2,75.6,.269,82,240.9,39.4,80.2,.491,5.4,14.7,.364,34.0,65.5,.519,20.2,27.2,.741,10.6,31.6,42.2,26.7,8.2,4.9,15.2,22.7,104.2
2009/2010,NBA,Portland Trail Blazers,50,32,.610,3.0,98.1,94.8,Yes,26.6,51,31,3.30,-0.13,3.18,110.8,107.1,+3.7,87.7,.315,.215,.547,.499,12.1,28.2,.249,.502,13.3,74.8,.219,82,242.1,36.3,78.7,.461,6.0,16.9,.354,30.3,61.8,.490,19.6,24.8,.790,11.1,29.1,40.2,20.4,6.4,4.3,12.3,20.9,98.1
2009/2010,NBA,Oklahoma City Thunder,50,32,.610,3.0,101.5,98.0,Yes,23.2,51,31,3.49,0.06,3.55,108.3,104.6,+3.7,93.1,.333,.185,.547,.494,13.9,28.6,.268,.483,14.0,73.6,.229,82,241.5,37.4,80.8,.462,5.1,15.0,.340,32.3,65.9,.490,21.7,27.0,.805,11.7,31.8,43.5,20.0,8.0,5.9,15.0,21.3,101.5
2009/2010,NBA,Minnesota Timberwolves,15,67,.183,38.0,98.2,107.8,No,24.1,17,65,-9.60,0.54,-9.06,101.7,111.6,-9.9,96.1,.278,.171,.518,.478,14.6,26.7,.207,.525,13.0,73.6,.220,82,241.2,37.9,84.4,.449,4.9,14.4,.341,33.0,70.0,.471,17.5,23.5,.746,11.7,31.2,42.9,19.8,7.3,3.7,16.3,20.7,98.2
2009/2010,NBA,Los Angeles Lakers,57,25,.695,—,101.7,97.0,Yes,28.4,54,28,4.72,0.06,4.78,108.8,103.7,+5.1,92.8,.289,.227,.538,.496,12.4,27.6,.221,.484,13.2,74.4,.195,82,241.8,38.3,83.8,.457,6.5,19.0,.341,31.9,64.8,.492,18.5,24.2,.765,11.9,32.5,44.3,21.1,7.5,4.9,13.4,19.4,101.7
2009/2010,NBA,Phoenix Suns,54,28,.659,3.0,110.2,105.3,Yes,28.5,54,28,4.90,-0.23,4.67,115.3,110.2,+5.1,95.3,.312,.261,.585,.546,13.6,27.6,.240,.491,11.6,70.8,.224,82,240.6,40.7,82.8,.492,8.9,21.6,.412,31.8,61.2,.520,19.9,25.8,.770,11.1,31.9,43.0,23.3,5.8,5.1,14.8,20.9,110.2
2009/2010,NBA,Los Angeles Clippers,29,53,.354,28.0,95.7,102.1,No,27.3,24,58,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,.283,.221,.529,.491,14.8,27.1,.206,.509,12.2,74.0,.214,82,240.3,36.6,80.5,.455,5.9,17.8,.332,30.7,62.7,.490,16.6,22.8,.730,11.3,30.5,41.8,22.1,6.5,5.7,15.7,19.3,95.7
2009/2010,NBA,Golden State Warriors,26,56,.317,31.0,108.8,112.4,No,25.1,32,50,-3.60,0.32,-3.28,108.1,111.7,-3.6,100.4,.294,.238,.557,.514,13.1,20.9,.230,.525,15.1,68.5,.260,82,240.6,40.6,86.5,.469,7.7,20.6,.375,32.9,65.9,.499,19.9,25.4,.782,9.2,29.2,38.4,22.4,9.3,4.1,14.7,23.0,108.8
2009/2010,NBA,Sacramento Kings,25,57,.305,32.0,100.0,104.4,No,24.1,29,53,-4.37,0.30,-4.06,105.3,109.9,-4.6,94.0,.286,.201,.528,.491,13.6,27.8,.207,.505,12.6,73.5,.244,82,242.4,38.3,84.1,.456,5.9,16.9,.349,32.5,67.2,.483,17.4,24.0,.726,11.9,30.7,42.6,20.5,6.9,4.5,15.0,22.3,100.0
2009/2010,NBA,Dallas Mavericks,55,27,.671,—,102.0,99.3,Yes,30.7,49,33,2.72,-0.06,2.66,109.2,106.3,+2.9,92.5,.277,.222,.552,.506,12.3,24.3,.226,.495,13.6,73.7,.206,82,242.4,38.3,82.4,.464,6.8,18.3,.372,31.5,64.2,.491,18.6,22.8,.816,10.2,31.5,41.7,23.4,7.6,5.5,12.9,19.1,102.0
