Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,attendance,attendance_per_g
2002/2003,Orlando Magic,26.9,42,40,41,41,0.13,-0.53,-0.39,105.2,105.0,+0.2,93.1,.307,.235,.526,.478,13.3,27.0,.239,.486,15.1,71.1,.250,"605,901","14,778"
2002/2003,Milwaukee Bucks,29.3,42,40,42,40,0.23,-0.48,-0.24,108.8,108.6,+0.2,90.4,.287,.229,.543,.500,12.2,25.6,.222,.494,13.5,69.9,.237,"665,966","16,243"
2002/2003,Seattle SuperSonics,26.9,40,42,41,41,-0.12,0.49,0.37,103.7,103.9,-0.2,88.0,.270,.196,.512,.472,12.8,28.1,.201,.484,14.3,71.8,.210,"637,194","15,541"
2002/2003,Boston Celtics,26.9,44,38,40,42,-0.39,-0.36,-0.75,101.2,101.6,-0.4,90.9,.306,.331,.514,.470,13.4,23.6,.227,.471,15.1,72.5,.242,"709,049","17,294"
2002/2003,Washington Wizards,28.4,37,45,38,44,-1.01,-0.46,-1.47,103.0,104.1,-1.1,88.2,.325,.127,.513,.460,13.0,27.3,.253,.477,13.8,71.6,.212,"827,093","20,173"
2002/2003,Golden State Warriors,24.4,38,44,38,44,-1.13,0.54,-0.60,108.3,109.5,-1.2,94.2,.343,.178,.526,.472,13.9,35.0,.267,.482,12.2,67.9,.220,"634,935","15,486"
2002/2003,New York Knicks,30.2,37,45,37,45,-1.35,-0.26,-1.61,104.7,106.2,-1.5,90.7,.241,.235,.528,.486,13.4,24.4,.196,.485,13.7,71.8,.261,"779,479","19,012"
2002/2003,Memphis Grizzlies,24.9,28,54,32,50,-3.23,0.63,-2.60,103.9,107.3,-3.4,92.7,.287,.190,.526,.487,14.2,27.0,.212,.491,13.4,68.7,.197,"611,322","14,910"
2002/2003,Atlanta Hawks,27.2,35,47,31,51,-3.56,-0.31,-3.87,102.3,106.1,-3.8,91.0,.313,.177,.527,.476,15.7,27.9,.248,.469,12.1,70.4,.222,"528,655","12,894"
2002/2003,Los Angeles Clippers,25.3,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,-4.5,91.3,.335,.182,.516,.467,14.8,29.1,.252,.481,13.1,70.2,.222,"706,471","17,231"
2002/2003,Chicago Bulls,25.2,30,52,27,55,-5.13,-0.17,-5.31,100.2,105.6,-5.4,93.5,.300,.148,.512,.471,15.4,27.7,.217,.470,13.3,69.5,.263,"804,309","19,617"
2002/2003,Miami Heat,26.5,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,-5.7,87.8,.259,.169,.483,.439,13.8,26.8,.198,.470,14.1,73.9,.257,"628,242","15,323"
