Season,Team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
2009/2010,Oklahoma City Thunder,82,241.5,37.4,80.8,.462,5.1,15.0,.340,32.3,65.9,.490,21.7,27.0,.805,11.7,31.8,43.5,20.0,8.0,5.9,15.0,21.3,101.5
2009/2010,San Antonio Spurs,82,241.2,38.4,81.2,.473,6.8,18.9,.358,31.7,62.3,.508,17.8,24.0,.740,10.8,32.0,42.8,22.3,6.3,4.6,13.6,20.4,101.4
2009/2010,Indiana Pacers,82,240.3,36.8,83.2,.443,8.0,23.1,.348,28.8,60.1,.479,19.1,24.6,.775,9.6,31.9,41.5,21.1,7.1,5.4,15.0,22.5,100.8
2009/2010,New Orleans Hornets,82,241.8,38.8,83.4,.464,7.0,19.2,.363,31.8,64.3,.495,15.8,20.3,.778,10.4,29.9,40.3,22.3,7.6,3.7,13.5,19.6,100.2
2009/2010,Sacramento Kings,82,242.4,38.3,84.1,.456,5.9,16.9,.349,32.5,67.2,.483,17.4,24.0,.726,11.9,30.7,42.6,20.5,6.9,4.5,15.0,22.3,100.0
2009/2010,Boston Celtics,82,241.2,37.1,76.8,.483,6.1,17.5,.348,31.0,59.3,.523,19.0,25.5,.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2
2009/2010,Minnesota Timberwolves,82,241.2,37.9,84.4,.449,4.9,14.4,.341,33.0,70.0,.471,17.5,23.5,.746,11.7,31.2,42.9,19.8,7.3,3.7,16.3,20.7,98.2
2009/2010,Portland Trail Blazers,82,242.1,36.3,78.7,.461,6.0,16.9,.354,30.3,61.8,.490,19.6,24.8,.790,11.1,29.1,40.2,20.4,6.4,4.3,12.3,20.9,98.1
2009/2010,Milwaukee Bucks,82,243.7,37.2,85.3,.436,7.9,22.1,.356,29.3,63.2,.464,15.4,20.4,.755,11.8,31.2,43.0,21.2,7.1,4.7,13.2,22.2,97.7
2009/2010,Philadelphia 76ers,82,241.5,37.6,81.8,.460,5.8,16.8,.343,31.9,64.9,.491,16.7,22.0,.756,11.5,29.5,41.0,21.0,8.1,5.4,14.5,20.5,97.7
2009/2010,Chicago Bulls,82,242.7,37.6,83.2,.451,4.3,13.0,.330,33.3,70.2,.474,18.0,23.9,.754,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1,97.5
2009/2010,Miami Heat,82,242.4,36.4,79.5,.458,6.0,17.4,.346,30.4,62.1,.489,17.7,23.5,.752,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9,96.5
2009/2010,Washington Wizards,82,241.8,36.7,81.7,.449,5.3,14.9,.353,31.4,66.8,.471,17.6,23.1,.762,11.8,30.0,41.8,19.0,6.0,5.1,14.9,21.4,96.2
2009/2010,Los Angeles Clippers,82,240.3,36.6,80.5,.455,5.9,17.8,.332,30.7,62.7,.490,16.6,22.8,.730,11.3,30.5,41.8,22.1,6.5,5.7,15.7,19.3,95.7
2009/2010,Charlotte Bobcats,82,242.4,34.9,76.9,.453,5.6,16.2,.346,29.2,60.7,.482,20.0,26.6,.751,10.5,30.4,40.8,20.2,7.7,5.4,15.7,19.5,95.3
2009/2010,Detroit Pistons,82,241.2,35.9,80.5,.445,4.6,14.5,.314,31.3,66.0,.474,17.7,24.4,.728,12.8,27.3,40.2,19.4,7.3,3.8,13.4,22.2,94.0
2009/2010,New Jersey Nets,82,241.2,34.3,79.9,.429,4.6,14.5,.318,29.7,65.5,.454,19.2,24.6,.780,10.9,28.8,39.7,18.8,7.0,4.8,14.4,20.0,92.4
2009/2010,Phoenix Mercury,34,204.4,33.9,71.5,.473,7.4,20.6,.359,26.4,50.9,.519,18.8,22.1,.848,8.7,27.1,35.7,20.2,7.0,4.4,15.3,20.0,93.9
2009/2010,Atlanta Dream,34,201.5,32.0,72.0,.444,3.9,13.3,.289,28.1,58.7,.479,17.6,24.8,.709,12.8,26.0,38.8,19.6,8.9,4.1,16.7,20.9,85.4
2009/2010,Seattle Storm,34,202.9,29.2,65.5,.445,7.2,19.6,.369,21.9,45.9,.478,16.2,20.4,.793,11.6,24.7,36.3,18.7,8.3,3.8,15.4,20.7,81.8
2009/2010,Connecticut Sun,34,202.9,29.6,69.4,.427,6.3,18.8,.333,23.4,50.5,.463,15.4,19.3,.802,10.5,26.0,36.5,17.8,7.1,3.8,14.7,17.8,81.0
2009/2010,New York Liberty,34,202.2,29.4,65.1,.453,6.9,16.8,.409,22.6,48.3,.468,13.5,16.5,.818,8.7,22.6,31.2,18.6,8.2,2.9,14.5,19.0,79.2
2009/2010,Minnesota Lynx,34,203.7,27.8,69.9,.397,5.0,15.5,.321,22.8,54.4,.419,18.2,24.1,.756,11.6,23.6,35.2,14.9,8.9,3.3,14.5,20.1,78.7
2009/2010,Indiana Fever,34,202.2,27.7,63.1,.438,6.4,17.4,.365,21.3,45.8,.466,16.6,21.2,.782,9.6,22.9,32.5,16.7,9.7,5.0,16.2,20.7,78.3
2009/2010,Tulsa Shock,34,200.7,28.9,68.3,.424,5.8,16.3,.357,23.1,52.0,.444,14.3,20.1,.711,10.1,21.5,31.6,16.7,9.8,4.2,18.1,19.7,78.0
2009/2010,Los Angeles Sparks,34,200.7,28.6,64.9,.441,5.9,17.6,.337,22.7,47.3,.479,14.8,18.0,.822,7.6,23.2,30.8,18.4,7.2,3.6,14.6,16.8,77.9
2009/2010,Washington Mystics,34,201.5,27.8,61.7,.451,4.7,13.4,.352,23.1,48.4,.478,16.6,21.4,.775,10.0,24.1,34.2,13.9,8.1,2.3,17.3,20.1,76.9
2009/2010,San Antonio Silver Stars,34,200.0,28.6,62.1,.461,5.7,17.3,.332,22.9,44.8,.510,13.9,18.2,.763,7.8,22.3,30.1,17.6,7.5,2.5,15.4,16.9,76.8
2009/2010,Chicago Sky,34,202.2,27.7,63.5,.437,5.1,15.0,.341,22.6,48.5,.466,15.5,20.9,.745,9.1,22.6,31.7,17.1,8.4,4.7,14.6,17.6,76.1
