Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs
1977/1978,NBA,Philadelphia 76ers,55,27,.671,—,114.7,109.6,Yes
1977/1978,NBA,New York Knicks,43,39,.524,12.0,113.4,114.0,Yes
1977/1978,NBA,Boston Celtics,32,50,.390,23.0,105.7,107.7,No
1977/1978,NBA,Buffalo Braves,27,55,.329,28.0,105.3,109.0,No
1977/1978,NBA,New Jersey Nets,24,58,.293,31.0,106.7,112.5,No
1977/1978,NBA,San Antonio Spurs,52,30,.634,—,114.5,111.1,Yes
1977/1978,NBA,Washington Bullets,44,38,.537,8.0,110.3,109.4,Yes
1977/1978,NBA,Cleveland Cavaliers,43,39,.524,9.0,104.4,103.9,Yes
1977/1978,NBA,Atlanta Hawks,41,41,.500,11.0,103.7,103.9,Yes
1977/1978,NBA,New Orleans Jazz,39,43,.476,13.0,107.6,109.5,No
1977/1978,NBA,Houston Rockets,28,54,.341,24.0,103.8,107.8,No
1977/1978,NBA,Denver Nuggets,48,34,.585,—,111.8,110.9,Yes
1977/1978,NBA,Milwaukee Bucks,44,38,.537,4.0,112.4,113.0,Yes
1977/1978,NBA,Chicago Bulls,40,42,.488,8.0,103.9,104.8,No
1977/1978,NBA,Detroit Pistons,38,44,.463,10.0,109.0,110.2,No
1977/1978,NBA,Kansas City Kings,31,51,.378,17.0,109.5,111.4,No
1977/1978,NBA,Indiana Pacers,31,51,.378,17.0,108.6,111.1,No
1977/1978,NBA,Portland Trail Blazers,58,24,.707,—,107.7,101.5,Yes
1977/1978,NBA,Phoenix Suns,49,33,.598,9.0,112.3,108.6,Yes
1977/1978,NBA,Seattle SuperSonics,47,35,.573,11.0,104.5,102.9,Yes
1977/1978,NBA,Los Angeles Lakers,45,37,.549,13.0,110.3,107.6,Yes
1977/1978,NBA,Golden State Warriors,43,39,.524,15.0,106.1,105.7,No
1978/1979,NBA,Washington Bullets,54,28,.659,—,114.9,109.9,Yes
1978/1979,NBA,Philadelphia 76ers,47,35,.573,7.0,109.5,107.7,Yes
1978/1979,NBA,New Jersey Nets,37,45,.451,17.0,107.7,111.9,Yes
1978/1979,NBA,New York Knicks,31,51,.378,23.0,107.7,111.1,No
1978/1979,NBA,Boston Celtics,29,53,.354,25.0,108.2,113.3,No
1978/1979,NBA,San Antonio Spurs,48,34,.585,—,119.3,114.1,Yes
1978/1979,NBA,Houston Rockets,47,35,.573,1.0,113.4,112.4,Yes
1978/1979,NBA,Atlanta Hawks,46,36,.561,2.0,109.1,107.1,Yes
1978/1979,NBA,Detroit Pistons,30,52,.366,18.0,110.0,112.7,No
1978/1979,NBA,Cleveland Cavaliers,30,52,.366,18.0,106.5,110.2,No
1978/1979,NBA,New Orleans Jazz,26,56,.317,22.0,108.3,114.6,No
1978/1979,NBA,Kansas City Kings,48,34,.585,—,113.1,110.2,Yes
1978/1979,NBA,Denver Nuggets,47,35,.573,1.0,110.7,109.5,Yes
1978/1979,NBA,Milwaukee Bucks,38,44,.463,10.0,114.1,111.8,No
1978/1979,NBA,Indiana Pacers,38,44,.463,10.0,108.6,110.2,No
1978/1979,NBA,Chicago Bulls,31,51,.378,17.0,104.7,108.7,No
1978/1979,NBA,Seattle SuperSonics,52,30,.634,—,106.6,103.9,Yes
1978/1979,NBA,Phoenix Suns,50,32,.610,2.0,115.4,111.7,Yes
1978/1979,NBA,Los Angeles Lakers,47,35,.573,5.0,112.9,109.9,Yes
1978/1979,NBA,Portland Trail Blazers,45,37,.549,7.0,108.4,107.1,Yes
1978/1979,NBA,San Diego Clippers,43,39,.524,9.0,113.1,114.9,No
1978/1979,NBA,Golden State Warriors,38,44,.463,14.0,105.1,104.8,No
1979/1980,NBA,Boston Celtics,61,21,.744,—,113.5,105.7,Yes
1979/1980,NBA,Philadelphia 76ers,59,23,.720,2.0,109.1,104.9,Yes
1979/1980,NBA,Washington Bullets,39,43,.476,22.0,107.0,109.5,Yes
1979/1980,NBA,New York Knicks,39,43,.476,22.0,114.0,115.1,No
1979/1980,NBA,New Jersey Nets,34,48,.415,27.0,108.3,109.5,No
1979/1980,NBA,Atlanta Hawks,50,32,.610,—,104.5,101.6,Yes
1979/1980,NBA,Houston Rockets,41,41,.500,9.0,110.8,110.6,Yes
1979/1980,NBA,San Antonio Spurs,41,41,.500,9.0,119.4,119.7,Yes
1979/1980,NBA,Indiana Pacers,37,45,.451,13.0,111.2,111.9,No
1979/1980,NBA,Cleveland Cavaliers,37,45,.451,13.0,114.1,113.8,No
1979/1980,NBA,Detroit Pistons,16,66,.195,34.0,108.9,117.2,No
1979/1980,NBA,Milwaukee Bucks,49,33,.598,—,110.1,106.1,Yes
1979/1980,NBA,Kansas City Kings,47,35,.573,2.0,108.0,104.9,Yes
1979/1980,NBA,Denver Nuggets,30,52,.366,19.0,108.3,112.7,No
1979/1980,NBA,Chicago Bulls,30,52,.366,19.0,107.5,110.2,No
1979/1980,NBA,Utah Jazz,24,58,.293,25.0,102.4,108.4,No
1979/1980,NBA,Los Angeles Lakers,60,22,.732,—,115.1,109.2,Yes
1979/1980,NBA,Seattle SuperSonics,56,26,.683,4.0,108.5,103.8,Yes
1979/1980,NBA,Phoenix Suns,55,27,.671,5.0,111.1,107.5,Yes
1979/1980,NBA,Portland Trail Blazers,38,44,.463,22.0,102.5,103.3,Yes
1979/1980,NBA,San Diego Clippers,35,47,.427,25.0,107.6,111.7,No
1979/1980,NBA,Golden State Warriors,24,58,.293,36.0,103.6,108.0,No
1980/1981,NBA,Boston Celtics,62,20,.756,—,109.9,104.0,Yes
1980/1981,NBA,Philadelphia 76ers,62,20,.756,—,111.7,103.8,Yes
1980/1981,NBA,New York Knicks,50,32,.610,12.0,107.9,106.3,Yes
1980/1981,NBA,Washington Bullets,39,43,.476,23.0,105.6,105.6,No
1980/1981,NBA,New Jersey Nets,24,58,.293,38.0,106.9,113.0,No
1980/1981,NBA,Milwaukee Bucks,60,22,.732,—,113.1,105.9,Yes
1980/1981,NBA,Chicago Bulls,45,37,.549,15.0,109.0,107.0,Yes
1980/1981,NBA,Indiana Pacers,44,38,.537,16.0,107.6,106.2,Yes
1980/1981,NBA,Atlanta Hawks,31,51,.378,29.0,104.9,108.0,No
1980/1981,NBA,Cleveland Cavaliers,28,54,.341,32.0,105.7,110.6,No
1980/1981,NBA,Detroit Pistons,21,61,.256,39.0,99.7,106.0,No
1980/1981,NBA,San Antonio Spurs,52,30,.634,—,112.3,109.4,Yes
1980/1981,NBA,Kansas City Kings,40,42,.488,12.0,106.9,106.9,Yes
1980/1981,NBA,Houston Rockets,40,42,.488,12.0,108.3,107.9,Yes
1980/1981,NBA,Denver Nuggets,37,45,.451,15.0,121.8,122.3,No
1980/1981,NBA,Utah Jazz,28,54,.341,24.0,101.2,107.1,No
1980/1981,NBA,Dallas Mavericks,15,67,.183,37.0,101.5,109.9,No
1980/1981,NBA,Phoenix Suns,57,25,.695,—,110.0,104.5,Yes
1980/1981,NBA,Los Angeles Lakers,54,28,.659,3.0,111.2,107.3,Yes
1980/1981,NBA,Portland Trail Blazers,45,37,.549,12.0,110.7,109.8,Yes
1980/1981,NBA,Golden State Warriors,39,43,.476,18.0,109.8,111.0,No
1980/1981,NBA,San Diego Clippers,36,46,.439,21.0,106.5,108.1,No
1980/1981,NBA,Seattle SuperSonics,34,48,.415,23.0,104.0,105.7,No
1981/1982,NBA,Boston Celtics,63,19,.768,—,112.0,105.6,Yes
1981/1982,NBA,Philadelphia 76ers,58,24,.707,5.0,111.2,105.5,Yes
1981/1982,NBA,New Jersey Nets,44,38,.537,19.0,106.7,106.0,Yes
1981/1982,NBA,Washington Bullets,43,39,.524,20.0,103.5,102.6,Yes
1981/1982,NBA,New York Knicks,33,49,.402,30.0,106.2,108.9,No
1981/1982,NBA,Milwaukee Bucks,55,27,.671,—,108.4,102.9,Yes
1981/1982,NBA,Atlanta Hawks,42,40,.512,13.0,101.0,100.5,Yes
1981/1982,NBA,Detroit Pistons,39,43,.476,16.0,111.1,112.0,No
1981/1982,NBA,Indiana Pacers,35,47,.427,20.0,102.2,104.0,No
1981/1982,NBA,Chicago Bulls,34,48,.415,21.0,106.6,108.6,No
1981/1982,NBA,Cleveland Cavaliers,15,67,.183,40.0,103.2,111.7,No
1981/1982,NBA,San Antonio Spurs,48,34,.585,—,113.1,110.8,Yes
1981/1982,NBA,Denver Nuggets,46,36,.561,2.0,126.5,126.0,Yes
1981/1982,NBA,Houston Rockets,46,36,.561,2.0,105.9,105.9,Yes
1981/1982,NBA,Kansas City Kings,30,52,.366,18.0,107.1,110.2,No
1981/1982,NBA,Dallas Mavericks,28,54,.341,20.0,104.6,109.0,No
1981/1982,NBA,Utah Jazz,25,57,.305,23.0,110.9,116.6,No
1981/1982,NBA,Los Angeles Lakers,57,25,.695,—,114.6,109.8,Yes
1981/1982,NBA,Seattle SuperSonics,52,30,.634,5.0,107.3,103.1,Yes
1981/1982,NBA,Phoenix Suns,46,36,.561,11.0,106.2,102.7,Yes
1981/1982,NBA,Golden State Warriors,45,37,.549,12.0,110.9,109.8,No
1981/1982,NBA,Portland Trail Blazers,42,40,.512,15.0,109.8,109.2,No
1981/1982,NBA,San Diego Clippers,17,65,.207,40.0,108.5,115.9,No
1982/1983,NBA,Philadelphia 76ers,65,17,.793,—,112.1,104.4,Yes
1982/1983,NBA,Boston Celtics,56,26,.683,9.0,112.1,106.7,Yes
1982/1983,NBA,New Jersey Nets,49,33,.598,16.0,105.8,103.0,Yes
1982/1983,NBA,New York Knicks,44,38,.537,21.0,100.0,97.5,Yes
1982/1983,NBA,Washington Bullets,42,40,.512,23.0,99.2,99.3,No
1982/1983,NBA,Milwaukee Bucks,51,31,.622,—,106.6,102.2,Yes
1982/1983,NBA,Atlanta Hawks,43,39,.524,8.0,101.6,102.6,Yes
1982/1983,NBA,Detroit Pistons,37,45,.451,14.0,112.7,113.1,No
1982/1983,NBA,Chicago Bulls,28,54,.341,23.0,111.0,115.9,No
1982/1983,NBA,Cleveland Cavaliers,23,59,.280,28.0,97.1,104.6,No
1982/1983,NBA,Indiana Pacers,20,62,.244,31.0,108.7,114.5,No
1982/1983,NBA,San Antonio Spurs,53,29,.646,—,114.3,110.7,Yes
1982/1983,NBA,Denver Nuggets,45,37,.549,8.0,123.2,122.6,Yes
1982/1983,NBA,Kansas City Kings,45,37,.549,8.0,113.8,112.3,No
1982/1983,NBA,Dallas Mavericks,38,44,.463,15.0,112.7,113.1,No
1982/1983,NBA,Utah Jazz,30,52,.366,23.0,109.0,113.2,No
1982/1983,NBA,Houston Rockets,14,68,.171,39.0,99.3,110.9,No
1982/1983,NBA,Los Angeles Lakers,58,24,.707,—,115.0,109.5,Yes
1982/1983,NBA,Phoenix Suns,53,29,.646,5.0,107.0,102.0,Yes
1982/1983,NBA,Seattle SuperSonics,48,34,.585,10.0,110.0,106.8,Yes
1982/1983,NBA,Portland Trail Blazers,46,36,.561,12.0,107.4,105.3,Yes
1982/1983,NBA,Golden State Warriors,30,52,.366,28.0,108.6,112.3,No
1982/1983,NBA,San Diego Clippers,25,57,.305,33.0,108.6,113.4,No
1983/1984,NBA,Boston Celtics,62,20,.756,—,112.1,105.6,Yes
1983/1984,NBA,Philadelphia 76ers,52,30,.634,10.0,107.8,105.6,Yes
1983/1984,NBA,New York Knicks,47,35,.573,15.0,106.9,103.0,Yes
1983/1984,NBA,New Jersey Nets,45,37,.549,17.0,110.0,108.9,Yes
1983/1984,NBA,Washington Bullets,35,47,.427,27.0,102.7,105.6,Yes
1983/1984,NBA,Milwaukee Bucks,50,32,.610,—,105.7,101.5,Yes
1983/1984,NBA,Detroit Pistons,49,33,.598,1.0,117.1,113.5,Yes
1983/1984,NBA,Atlanta Hawks,40,42,.488,10.0,101.5,102.8,Yes
1983/1984,NBA,Cleveland Cavaliers,28,54,.341,22.0,102.3,106.5,No
1983/1984,NBA,Chicago Bulls,27,55,.329,23.0,103.7,108.9,No
1983/1984,NBA,Indiana Pacers,26,56,.317,24.0,104.5,109.3,No
1983/1984,NBA,Utah Jazz,45,37,.549,—,115.0,113.8,Yes
1983/1984,NBA,Dallas Mavericks,43,39,.524,2.0,110.4,110.0,Yes
1983/1984,NBA,Denver Nuggets,38,44,.463,7.0,123.7,124.8,Yes
1983/1984,NBA,Kansas City Kings,38,44,.463,7.0,110.0,111.5,Yes
1983/1984,NBA,San Antonio Spurs,37,45,.451,8.0,120.3,120.5,No
1983/1984,NBA,Houston Rockets,29,53,.354,16.0,110.6,113.7,No
1983/1984,NBA,Los Angeles Lakers,54,28,.659,—,115.6,111.8,Yes
1983/1984,NBA,Portland Trail Blazers,48,34,.585,6.0,113.1,109.6,Yes
1983/1984,NBA,Seattle SuperSonics,42,40,.512,12.0,108.1,108.3,Yes
1983/1984,NBA,Phoenix Suns,41,41,.500,13.0,111.0,110.1,Yes
1983/1984,NBA,Golden State Warriors,37,45,.451,17.0,109.9,113.3,No
1983/1984,NBA,San Diego Clippers,30,52,.366,24.0,110.7,114.0,No
1984/1985,NBA,Boston Celtics,63,19,.768,—,114.8,108.1,Yes
1984/1985,NBA,Philadelphia 76ers,58,24,.707,5.0,112.9,108.8,Yes
1984/1985,NBA,New Jersey Nets,42,40,.512,21.0,109.5,109.2,Yes
1984/1985,NBA,Washington Bullets,40,42,.488,23.0,105.5,105.8,Yes
1984/1985,NBA,New York Knicks,24,58,.293,39.0,105.2,109.8,No
1984/1985,NBA,Milwaukee Bucks,59,23,.720,—,110.9,104.0,Yes
1984/1985,NBA,Detroit Pistons,46,36,.561,13.0,116.0,113.5,Yes
1984/1985,NBA,Chicago Bulls,38,44,.463,21.0,108.7,109.6,Yes
1984/1985,NBA,Cleveland Cavaliers,36,46,.439,23.0,108.6,111.3,Yes
1984/1985,NBA,Atlanta Hawks,34,48,.415,25.0,106.6,108.1,No
1984/1985,NBA,Indiana Pacers,22,60,.268,37.0,108.3,114.5,No
1984/1985,NBA,Denver Nuggets,52,30,.634,—,120.0,117.6,Yes
1984/1985,NBA,Houston Rockets,48,34,.585,4.0,111.2,109.5,Yes
1984/1985,NBA,Dallas Mavericks,44,38,.537,8.0,111.2,109.0,Yes
1984/1985,NBA,Utah Jazz,41,41,.500,11.0,109.0,109.1,Yes
1984/1985,NBA,San Antonio Spurs,41,41,.500,11.0,114.8,113.9,Yes
1984/1985,NBA,Kansas City Kings,31,51,.378,21.0,114.8,117.5,No
1984/1985,NBA,Los Angeles Lakers,62,20,.756,—,118.2,110.9,Yes
1984/1985,NBA,Portland Trail Blazers,42,40,.512,20.0,115.5,112.1,Yes
1984/1985,NBA,Phoenix Suns,36,46,.439,26.0,108.0,110.1,Yes
1984/1985,NBA,Seattle SuperSonics,31,51,.378,31.0,102.1,107.6,No
1984/1985,NBA,Los Angeles Clippers,31,51,.378,31.0,107.1,111.6,No
1984/1985,NBA,Golden State Warriors,22,60,.268,40.0,110.4,117.7,No
1985/1986,NBA,Boston Celtics,67,15,.817,—,114.1,104.7,Yes
1985/1986,NBA,Philadelphia 76ers,54,28,.659,13.0,110.4,108.0,Yes
1985/1986,NBA,Washington Bullets,39,43,.476,28.0,103.0,104.8,Yes
1985/1986,NBA,New Jersey Nets,39,43,.476,28.0,109.1,111.1,Yes
1985/1986,NBA,New York Knicks,23,59,.280,44.0,98.7,104.3,No
1985/1986,NBA,Milwaukee Bucks,57,25,.695,—,114.5,105.5,Yes
1985/1986,NBA,Atlanta Hawks,50,32,.610,7.0,108.6,106.2,Yes
1985/1986,NBA,Detroit Pistons,46,36,.561,11.0,114.2,113.0,Yes
1985/1986,NBA,Chicago Bulls,30,52,.366,27.0,109.3,113.1,Yes
1985/1986,NBA,Cleveland Cavaliers,29,53,.354,28.0,107.8,110.6,No
1985/1986,NBA,Indiana Pacers,26,56,.317,31.0,103.9,107.2,No
1985/1986,NBA,Houston Rockets,51,31,.622,—,114.4,111.8,Yes
1985/1986,NBA,Denver Nuggets,47,35,.573,4.0,114.8,113.5,Yes
1985/1986,NBA,Dallas Mavericks,44,38,.537,7.0,115.3,114.2,Yes
1985/1986,NBA,Utah Jazz,42,40,.512,9.0,108.2,108.5,Yes
1985/1986,NBA,Sacramento Kings,37,45,.451,14.0,108.8,111.9,Yes
1985/1986,NBA,San Antonio Spurs,35,47,.427,16.0,111.2,113.1,Yes
1985/1986,NBA,Los Angeles Lakers,62,20,.756,—,117.3,109.5,Yes
1985/1986,NBA,Portland Trail Blazers,40,42,.488,22.0,115.1,114.0,Yes
1985/1986,NBA,Phoenix Suns,32,50,.390,30.0,110.0,113.0,No
1985/1986,NBA,Los Angeles Clippers,32,50,.390,30.0,108.6,115.5,No
1985/1986,NBA,Seattle SuperSonics,31,51,.378,31.0,104.4,104.5,No
1985/1986,NBA,Golden State Warriors,30,52,.366,32.0,113.4,116.9,No
1986/1987,NBA,Boston Celtics,59,23,.720,—,112.6,106.0,Yes
1986/1987,NBA,Philadelphia 76ers,45,37,.549,14.0,106.5,106.6,Yes
1986/1987,NBA,Washington Bullets,42,40,.512,17.0,106.0,107.3,Yes
1986/1987,NBA,New Jersey Nets,24,58,.293,35.0,108.5,113.5,No
1986/1987,NBA,New York Knicks,24,58,.293,35.0,103.8,110.0,No
1986/1987,NBA,Atlanta Hawks,57,25,.695,—,110.0,102.8,Yes
1986/1987,NBA,Detroit Pistons,52,30,.634,5.0,111.2,107.8,Yes
1986/1987,NBA,Milwaukee Bucks,50,32,.610,7.0,110.4,106.5,Yes
1986/1987,NBA,Indiana Pacers,41,41,.500,16.0,106.1,106.7,Yes
1986/1987,NBA,Chicago Bulls,40,42,.488,17.0,104.8,103.9,Yes
1986/1987,NBA,Cleveland Cavaliers,31,51,.378,26.0,104.4,108.2,No
1986/1987,NBA,Dallas Mavericks,55,27,.671,—,116.7,110.4,Yes
1986/1987,NBA,Utah Jazz,44,38,.537,11.0,107.9,107.5,Yes
1986/1987,NBA,Houston Rockets,42,40,.512,13.0,106.9,105.9,Yes
1986/1987,NBA,Denver Nuggets,37,45,.451,18.0,116.7,117.6,Yes
1986/1987,NBA,Sacramento Kings,29,53,.354,26.0,110.9,114.1,No
1986/1987,NBA,San Antonio Spurs,28,54,.341,27.0,108.3,113.4,No
1986/1987,NBA,Los Angeles Lakers,65,17,.793,—,117.8,108.5,Yes
1986/1987,NBA,Portland Trail Blazers,49,33,.598,16.0,117.9,114.8,Yes
1986/1987,NBA,Golden State Warriors,42,40,.512,23.0,112.0,114.4,Yes
1986/1987,NBA,Seattle SuperSonics,39,43,.476,26.0,113.7,113.3,Yes
1986/1987,NBA,Phoenix Suns,36,46,.439,29.0,111.1,113.5,No
1986/1987,NBA,Los Angeles Clippers,12,70,.146,53.0,104.5,115.9,No
1987/1988,NBA,Boston Celtics,57,25,.695,—,113.6,107.7,Yes
1987/1988,NBA,Washington Bullets,38,44,.463,19.0,105.5,106.3,Yes
1987/1988,NBA,New York Knicks,38,44,.463,19.0,105.5,106.0,Yes
1987/1988,NBA,Philadelphia 76ers,36,46,.439,21.0,105.7,107.1,No
1987/1988,NBA,New Jersey Nets,19,63,.232,38.0,100.4,108.5,No
1987/1988,NBA,Detroit Pistons,54,28,.659,—,109.2,104.1,Yes
1987/1988,NBA,Chicago Bulls,50,32,.610,4.0,105.0,101.6,Yes
1987/1988,NBA,Atlanta Hawks,50,32,.610,4.0,107.9,104.3,Yes
1987/1988,NBA,Milwaukee Bucks,42,40,.512,12.0,106.1,105.5,Yes
1987/1988,NBA,Cleveland Cavaliers,42,40,.512,12.0,104.5,103.7,Yes
1987/1988,NBA,Indiana Pacers,38,44,.463,16.0,104.6,105.4,No
1987/1988,NBA,Denver Nuggets,54,28,.659,—,116.7,112.7,Yes
1987/1988,NBA,Dallas Mavericks,53,29,.646,1.0,109.3,104.9,Yes
1987/1988,NBA,Utah Jazz,47,35,.573,7.0,108.5,104.8,Yes
1987/1988,NBA,Houston Rockets,46,36,.561,8.0,109.0,107.6,Yes
1987/1988,NBA,San Antonio Spurs,31,51,.378,23.0,113.6,118.5,Yes
1987/1988,NBA,Sacramento Kings,24,58,.293,30.0,108.0,113.7,No
1987/1988,NBA,Los Angeles Lakers,62,20,.756,—,112.8,107.0,Yes
1987/1988,NBA,Portland Trail Blazers,53,29,.646,9.0,116.1,111.5,Yes
1987/1988,NBA,Seattle SuperSonics,44,38,.537,18.0,111.4,109.3,Yes
1987/1988,NBA,Phoenix Suns,28,54,.341,34.0,108.5,113.0,No
1987/1988,NBA,Golden State Warriors,20,62,.244,42.0,107.0,115.3,No
1987/1988,NBA,Los Angeles Clippers,17,65,.207,45.0,98.8,109.1,No
1988/1989,NBA,New York Knicks,52,30,.634,—,116.7,112.9,Yes
1988/1989,NBA,Philadelphia 76ers,46,36,.561,6.0,111.9,110.4,Yes
1988/1989,NBA,Boston Celtics,42,40,.512,10.0,109.2,108.1,Yes
1988/1989,NBA,Washington Bullets,40,42,.488,12.0,108.3,110.4,No
1988/1989,NBA,New Jersey Nets,26,56,.317,26.0,103.7,110.1,No
1988/1989,NBA,Charlotte Hornets,20,62,.244,32.0,104.5,113.0,No
1988/1989,NBA,Detroit Pistons,63,19,.768,—,106.6,100.8,Yes
1988/1989,NBA,Cleveland Cavaliers,57,25,.695,6.0,108.8,101.2,Yes
1988/1989,NBA,Atlanta Hawks,52,30,.634,11.0,111.0,106.1,Yes
1988/1989,NBA,Milwaukee Bucks,49,33,.598,14.0,108.9,105.3,Yes
1988/1989,NBA,Chicago Bulls,47,35,.573,16.0,106.4,105.0,Yes
1988/1989,NBA,Indiana Pacers,28,54,.341,35.0,106.9,111.1,No
1988/1989,NBA,Utah Jazz,51,31,.622,—,104.7,99.7,Yes
1988/1989,NBA,Houston Rockets,45,37,.549,6.0,108.5,107.5,Yes
1988/1989,NBA,Denver Nuggets,44,38,.537,7.0,118.0,116.3,Yes
1988/1989,NBA,Dallas Mavericks,38,44,.463,13.0,103.5,104.7,No
1988/1989,NBA,San Antonio Spurs,21,61,.256,30.0,105.5,112.8,No
1988/1989,NBA,Miami Heat,15,67,.183,36.0,97.8,109.0,No
1988/1989,NBA,Los Angeles Lakers,57,25,.695,—,114.7,107.5,Yes
1988/1989,NBA,Phoenix Suns,55,27,.671,2.0,118.6,110.9,Yes
1988/1989,NBA,Seattle SuperSonics,47,35,.573,10.0,112.1,109.2,Yes
1988/1989,NBA,Golden State Warriors,43,39,.524,14.0,116.6,116.9,Yes
1988/1989,NBA,Portland Trail Blazers,39,43,.476,18.0,114.6,113.1,Yes
1988/1989,NBA,Sacramento Kings,27,55,.329,30.0,105.5,111.0,No
1988/1989,NBA,Los Angeles Clippers,21,61,.256,36.0,106.2,116.2,No
1989/1990,NBA,Philadelphia 76ers,53,29,.646,—,110.2,105.2,Yes
1989/1990,NBA,Boston Celtics,52,30,.634,1.0,110.0,106.0,Yes
1989/1990,NBA,New York Knicks,45,37,.549,8.0,108.3,106.9,Yes
1989/1990,NBA,Washington Bullets,31,51,.378,22.0,107.7,109.9,No
1989/1990,NBA,Miami Heat,18,64,.220,35.0,100.6,110.3,No
1989/1990,NBA,New Jersey Nets,17,65,.207,36.0,100.1,108.0,No
1989/1990,NBA,Detroit Pistons,59,23,.720,—,104.3,98.3,Yes
1989/1990,NBA,Chicago Bulls,55,27,.671,4.0,109.5,106.2,Yes
1989/1990,NBA,Milwaukee Bucks,44,38,.537,15.0,106.0,106.8,Yes
1989/1990,NBA,Cleveland Cavaliers,42,40,.512,17.0,102.6,102.9,Yes
1989/1990,NBA,Indiana Pacers,42,40,.512,17.0,109.3,109.1,Yes
1989/1990,NBA,Atlanta Hawks,41,41,.500,18.0,108.5,107.5,No
1989/1990,NBA,Orlando Magic,18,64,.220,41.0,110.9,119.8,No
1989/1990,NBA,San Antonio Spurs,56,26,.683,—,106.3,102.8,Yes
1989/1990,NBA,Utah Jazz,55,27,.671,1.0,106.8,102.0,Yes
1989/1990,NBA,Dallas Mavericks,47,35,.573,9.0,102.2,102.2,Yes
1989/1990,NBA,Denver Nuggets,43,39,.524,13.0,114.6,113.2,Yes
1989/1990,NBA,Houston Rockets,41,41,.500,15.0,106.7,105.3,Yes
1989/1990,NBA,Minnesota Timberwolves,22,60,.268,34.0,95.2,99.4,No
1989/1990,NBA,Charlotte Hornets,19,63,.232,37.0,100.4,108.2,No
1989/1990,NBA,Los Angeles Lakers,63,19,.768,—,110.7,103.9,Yes
1989/1990,NBA,Portland Trail Blazers,59,23,.720,4.0,114.2,107.9,Yes
1989/1990,NBA,Phoenix Suns,54,28,.659,9.0,114.9,107.8,Yes
1989/1990,NBA,Seattle SuperSonics,41,41,.500,22.0,106.9,105.9,No
1989/1990,NBA,Golden State Warriors,37,45,.451,26.0,116.3,119.4,No
1989/1990,NBA,Los Angeles Clippers,30,52,.366,33.0,103.8,107.2,No
1989/1990,NBA,Sacramento Kings,23,59,.280,40.0,101.7,106.8,No
1990/1991,NBA,Boston Celtics,56,26,.683,—,111.5,105.7,Yes
1990/1991,NBA,Philadelphia 76ers,44,38,.537,12.0,105.4,105.6,Yes
1990/1991,NBA,New York Knicks,39,43,.476,17.0,103.1,103.3,Yes
1990/1991,NBA,Washington Bullets,30,52,.366,26.0,101.4,106.4,No
1990/1991,NBA,New Jersey Nets,26,56,.317,30.0,102.9,107.5,No
1990/1991,NBA,Miami Heat,24,58,.293,32.0,101.8,107.8,No
1990/1991,NBA,Chicago Bulls,61,21,.744,—,110.0,101.0,Yes
1990/1991,NBA,Detroit Pistons,50,32,.610,11.0,100.1,96.8,Yes
1990/1991,NBA,Milwaukee Bucks,48,34,.585,13.0,106.4,104.0,Yes
1990/1991,NBA,Atlanta Hawks,43,39,.524,18.0,109.8,109.0,Yes
1990/1991,NBA,Indiana Pacers,41,41,.500,20.0,111.7,112.1,Yes
1990/1991,NBA,Cleveland Cavaliers,33,49,.402,28.0,101.7,104.2,No
1990/1991,NBA,Charlotte Hornets,26,56,.317,35.0,102.8,108.0,No
1990/1991,NBA,San Antonio Spurs,55,27,.671,—,107.1,102.6,Yes
1990/1991,NBA,Utah Jazz,54,28,.659,1.0,104.0,100.7,Yes
1990/1991,NBA,Houston Rockets,52,30,.634,3.0,106.7,103.2,Yes
1990/1991,NBA,Orlando Magic,31,51,.378,24.0,105.9,109.9,No
1990/1991,NBA,Minnesota Timberwolves,29,53,.354,26.0,99.6,103.5,No
1990/1991,NBA,Dallas Mavericks,28,54,.341,27.0,99.9,104.5,No
1990/1991,NBA,Denver Nuggets,20,62,.244,35.0,119.9,130.8,No
1990/1991,NBA,Portland Trail Blazers,63,19,.768,—,114.7,106.0,Yes
1990/1991,NBA,Los Angeles Lakers,58,24,.707,5.0,106.3,99.6,Yes
1990/1991,NBA,Phoenix Suns,55,27,.671,8.0,114.0,107.5,Yes
1990/1991,NBA,Golden State Warriors,44,38,.537,19.0,116.6,115.0,Yes
1990/1991,NBA,Seattle SuperSonics,41,41,.500,22.0,106.6,105.4,Yes
1990/1991,NBA,Los Angeles Clippers,31,51,.378,32.0,103.5,107.0,No
1990/1991,NBA,Sacramento Kings,25,57,.305,38.0,96.7,103.5,No
1991/1992,NBA,Boston Celtics,51,31,.622,—,106.6,103.0,Yes
1991/1992,NBA,New York Knicks,51,31,.622,—,101.6,97.7,Yes
1991/1992,NBA,New Jersey Nets,40,42,.488,11.0,105.4,107.1,Yes
1991/1992,NBA,Miami Heat,38,44,.463,13.0,105.0,109.2,Yes
1991/1992,NBA,Philadelphia 76ers,35,47,.427,16.0,101.9,103.2,No
1991/1992,NBA,Washington Bullets,25,57,.305,26.0,102.4,106.8,No
1991/1992,NBA,Orlando Magic,21,61,.256,30.0,101.6,108.5,No
1991/1992,NBA,Chicago Bulls,67,15,.817,—,109.9,99.5,Yes
